id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating
10684,6608,EAST DAMBORING,WA,116.826594,-30.429334,MOORA LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-30.4737535,116.8023264,50902124114.0,50902124114.0,509021241.0,Moora,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,4.0,4.0,6.0,6.0,Durack,,W2,PHN503,Country WA,Wongan-Ballidu,59310.0,Durack,Rural
10687,6609,DALWALLINU,WA,116.750631,-30.266489,DALWALLINU LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-30.2865969,116.6631228,50902124113.0,50902124113.0,509021241.0,Moora,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,4.0,4.0,6.0,6.0,Durack,295.900817871094,W2,PHN503,Country WA,Dalwallinu,52520.0,Durack,Rural
10690,6612,JIBBERDING,WA,117.835179,-29.545139,MOORA LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-29.9459661,116.8498494,50902124115.0,50902124115.0,509021241.0,Moora,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,4.0,4.0,6.0,6.0,Durack,,W2,PHN503,Country WA,Mount Marshall,55880.0,Durack,Rural
10694,6613,BUNTINE,WA,116.523551,-29.962626,MOORA LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-29.9852088,116.5845767,50902124115.0,50902124115.0,509021241.0,Moora,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,4.0,4.0,6.0,6.0,Durack,311.4921875,W2,PHN503,Country WA,Dalwallinu,52520.0,Durack,Rural
10695,6614,MAYA,WA,116.551869,-29.888797,MOORA LPO,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-29.8565149,116.5845767,50805121610.0,51104129102.0,511041291.0,Morawa,51104.0,Mid West,511.0,Western Australia - Outback (South),4.0,4.0,6.0,6.0,Durack,,W2,PHN503,Country WA,Dalwallinu,52520.0,Durack,Rural
10696,6616,LATHAM,WA,116.434223,-29.76691,MOORA LPO,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-29.7542682,116.5609857,50805121610.0,51104129102.0,511041291.0,Morawa,51104.0,Mid West,511.0,Western Australia - Outback (South),4.0,4.0,6.0,6.0,Durack,,W2,PHN503,Country WA,Perenjori,57000.0,Durack,Rural
21794,6620,BUNJIL,WA,116.6013512,-29.62372971,WA Country,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-29.6524,116.365,50805121610.0,51104129102.0,511041291.0,Morawa,51104.0,Mid West,511.0,Western Australia - Outback (South),4.0,4.0,6.0,6.0,Durack,309.785766601563,W2,PHN503,Country WA,Perenjori,57000.0,Durack,Rural
10699,6623,BOWGADA,WA,116.120459,-29.021683,MORAWA LPO,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-29.3423856,116.1619156,50805121610.0,51104129102.0,511041291.0,Morawa,51104.0,Mid West,511.0,Western Australia - Outback (South),4.0,4.0,6.0,6.0,Durack,,W2,PHN503,Country WA,Morawa,55670.0,Durack,Rural
10705,6625,MERKANOOKA,WA,115.946714,-29.107426,WA Country,,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-29.2237,115.805,50805121604.0,51104129110.0,511041291.0,Morawa,51104.0,Mid West,511.0,Western Australia - Outback (South),4.0,4.0,6.0,6.0,Durack,,W2,PHN503,Country WA,Morawa,55670.0,Durack,Rural
10706,6627,CANNA,WA,115.902023,-28.850457,MORAWA LPO,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-28.8381495,115.9940986,50805121604.0,51104129110.0,511041291.0,Morawa,51104.0,Mid West,511.0,Western Australia - Outback (South),4.0,4.0,6.0,6.0,Durack,346.523345947266,W2,PHN503,Country WA,Morawa,55670.0,Durack,Rural
